Loan_ID,Loan_Amount,Industry,Credit_Band,Region,Rep_Assigned,Term_Months,Application_Score,Days_To_Fund,Defaulted
1,146958,Real Estate,Low,West,Rep A,60,809.85,9,0
2,171867,Hospitality,Low,West,Rep C,60,596.98,6,1
3,156932,Legal,Low,South,Rep B,60,763.12,18,1
4,128694,Hospitality,Mid,West,Rep C,36,586.53,6,0
5,144879,Retail,High,West,Rep D,60,642.97,19,0
6,135268,Retail,Mid,South,Rep D,36,349.02,12,0
7,232892,Hospitality,High,Midwest,Rep B,36,715.4,11,1
8,79886,Healthcare,Low,West,Rep D,72,370.24,2,0
9,162337,Construction,Mid,West,Rep C,36,754.34,15,0
10,238458,Retail,Low,West,Rep A,24,730.12,12,0
11,193266,Hospitality,Mid,Northeast,Rep A,36,689.81,12,1
12,112498,Real Estate,Low,South,Rep A,72,319.89,9,1
13,137727,Hospitality,High,Northeast,Rep B,36,466.72,2,0
14,151324,Tech,High,South,Rep D,24,444.71,3,0
15,200203,Construction,High,Midwest,Rep C,24,498.08,12,0
16,216335,Legal,Mid,Midwest,Rep D,24,348.2,16,0
17,41023,Healthcare,High,West,Rep D,72,815.33,1,0
18,66090,Legal,Mid,South,Rep D,72,604.59,3,0
19,92221,Construction,High,Midwest,Rep A,60,468.04,2,0
20,89820,Construction,High,South,Rep C,72,518.34,9,0
21,25769,Construction,Mid,Midwest,Rep C,24,545.96,19,0
22,84735,Legal,Mid,Northeast,Rep D,24,630.33,15,0
23,219027,Real Estate,High,Midwest,Rep A,72,583.62,18,0
24,89925,Construction,Mid,Northeast,Rep A,36,805.67,11,0
25,224041,Hospitality,High,Midwest,Rep C,72,573.33,16,0
26,30311,Legal,Mid,West,Rep A,72,845.69,17,0
27,128355,Construction,Low,Northeast,Rep A,24,768.28,5,0
28,239176,Hospitality,Low,Midwest,Rep A,60,414.68,12,1
29,209779,Real Estate,Low,West,Rep B,24,811.83,11,1
30,110305,Tech,Low,Northeast,Rep D,60,364,15,0
31,184765,Real Estate,Low,West,Rep C,24,749.6,3,0
32,228004,Construction,High,South,Rep C,72,509.34,1,0
33,249088,Legal,Low,South,Rep B,24,782.89,16,0
34,155608,Retail,Low,Northeast,Rep D,24,777.43,2,0
35,181730,Construction,Low,Midwest,Rep C,24,743.26,2,1
36,109478,Retail,Low,Northeast,Rep A,72,734.52,3,0
37,147537,Hospitality,Mid,West,Rep C,72,467.57,8,0
38,174503,Tech,High,Midwest,Rep A,72,344.51,15,0
39,155523,Healthcare,Low,South,Rep B,72,521.64,7,1
40,27747,Real Estate,Low,Midwest,Rep A,60,395.44,6,0
41,148855,Tech,Low,South,Rep C,60,682.22,9,0
42,215222,Construction,High,Midwest,Rep C,36,490.35,1,0
43,90725,Retail,Mid,Midwest,Rep C,72,836.59,8,1
